Date,Location,Category,Dollar Value ('000s')
2023-11-01,Prince Edward Island,Live animals or animal products,1
2023-12-01,Prince Edward Island,Live animals or animal products,0
2024-01-01,Prince Edward Island,Live animals or animal products,0
2024-02-01,Prince Edward Island,Live animals or animal products,0
2024-03-01,Prince Edward Island,Live animals or animal products,2
2017-01-01,Prince Edward Island,Vegetable products,0
2017-02-01,Prince Edward Island,Vegetable products,0
2017-03-01,Prince Edward Island,Vegetable products,0
2017-04-01,Prince Edward Island,Vegetable products,0
2017-05-01,Prince Edward Island,Vegetable products,0
2017-06-01,Prince Edward Island,Vegetable products,0
2017-07-01,Prince Edward Island,Vegetable products,0
2017-08-01,Prince Edward Island,Vegetable products,0
2017-09-01,Prince Edward Island,Vegetable products,2
2017-10-01,Prince Edward Island,Vegetable products,0
2017-11-01,Prince Edward Island,Vegetable products,0
2017-12-01,Prince Edward Island,Vegetable products,4
2018-01-01,Prince Edward Island,Vegetable products,0
2018-02-01,Prince Edward Island,Vegetable products,0
2018-03-01,Prince Edward Island,Vegetable products,0
2018-04-01,Prince Edward Island,Vegetable products,0
2018-05-01,Prince Edward Island,Vegetable products,0
2018-06-01,Prince Edward Island,Vegetable products,0
2018-07-01,Prince Edward Island,Vegetable products,0
2018-08-01,Prince Edward Island,Vegetable products,0
2018-09-01,Prince Edward Island,Vegetable products,0
2018-10-01,Prince Edward Island,Vegetable products,0
2018-11-01,Prince Edward Island,Vegetable products,0
2018-12-01,Prince Edward Island,Vegetable products,0
2019-01-01,Prince Edward Island,Vegetable products,0
2019-02-01,Prince Edward Island,Vegetable products,12
2019-03-01,Prince Edward Island,Vegetable products,0
2019-04-01,Prince Edward Island,Vegetable products,0
2019-05-01,Prince Edward Island,Vegetable products,0
2019-06-01,Prince Edward Island,Vegetable products,0
2019-07-01,Prince Edward Island,Vegetable products,0
2019-08-01,Prince Edward Island,Vegetable products,0
2019-09-01,Prince Edward Island,Vegetable products,0
2019-10-01,Prince Edward Island,Vegetable products,4
2019-11-01,Prince Edward Island,Vegetable products,0
2019-12-01,Prince Edward Island,Vegetable products,0
2020-01-01,Prince Edward Island,Vegetable products,0
2020-02-01,Prince Edward Island,Vegetable products,0
2020-03-01,Prince Edward Island,Vegetable products,0
2020-04-01,Prince Edward Island,Vegetable products,0
2020-05-01,Prince Edward Island,Vegetable products,0
2020-06-01,Prince Edward Island,Vegetable products,0
2020-07-01,Prince Edward Island,Vegetable products,0
2020-08-01,Prince Edward Island,Vegetable products,0
2020-09-01,Prince Edward Island,Vegetable products,0
2020-10-01,Prince Edward Island,Vegetable products,3
2020-11-01,Prince Edward Island,Vegetable products,0
2020-12-01,Prince Edward Island,Vegetable products,0
2021-01-01,Prince Edward Island,Vegetable products,0
2021-02-01,Prince Edward Island,Vegetable products,0
2021-03-01,Prince Edward Island,Vegetable products,0
2021-04-01,Prince Edward Island,Vegetable products,0
2021-05-01,Prince Edward Island,Vegetable products,0
2021-06-01,Prince Edward Island,Vegetable products,0
2021-07-01,Prince Edward Island,Vegetable products,0
2021-08-01,Prince Edward Island,Vegetable products,0
2021-09-01,Prince Edward Island,Vegetable products,0
2021-10-01,Prince Edward Island,Vegetable products,16
2021-11-01,Prince Edward Island,Vegetable products,0
2021-12-01,Prince Edward Island,Vegetable products,0
2022-01-01,Prince Edward Island,Vegetable products,0
2022-02-01,Prince Edward Island,Vegetable products,0
2022-03-01,Prince Edward Island,Vegetable products,0
2022-04-01,Prince Edward Island,Vegetable products,0
2022-05-01,Prince Edward Island,Vegetable products,0
2022-06-01,Prince Edward Island,Vegetable products,0
2022-07-01,Prince Edward Island,Vegetable products,0
2022-08-01,Prince Edward Island,Vegetable products,6
2022-09-01,Prince Edward Island,Vegetable products,0
2022-10-01,Prince Edward Island,Vegetable products,0
2022-11-01,Prince Edward Island,Vegetable products,0
2022-12-01,Prince Edward Island,Vegetable products,0
2023-01-01,Prince Edward Island,Vegetable products,0
2023-02-01,Prince Edward Island,Vegetable products,19
2023-03-01,Prince Edward Island,Vegetable products,0
2023-04-01,Prince Edward Island,Vegetable products,0
2023-05-01,Prince Edward Island,Vegetable products,0
2023-06-01,Prince Edward Island,Vegetable products,0
2023-07-01,Prince Edward Island,Vegetable products,0
2023-08-01,Prince Edward Island,Vegetable products,0
2023-09-01,Prince Edward Island,Vegetable products,0
2023-10-01,Prince Edward Island,Vegetable products,0
2023-11-01,Prince Edward Island,Vegetable products,0
2023-12-01,Prince Edward Island,Vegetable products,0
2024-01-01,Prince Edward Island,Vegetable products,0
2024-02-01,Prince Edward Island,Vegetable products,0
2024-03-01,Prince Edward Island,Vegetable products,0
2017-01-01,Prince Edward Island,Animal or vegetable oils,0
2017-02-01,Prince Edward Island,Animal or vegetable oils,0
2017-03-01,Prince Edward Island,Animal or vegetable oils,0
2017-04-01,Prince Edward Island,Animal or vegetable oils,0
2017-05-01,Prince Edward Island,Animal or vegetable oils,0
2017-06-01,Prince Edward Island,Animal or vegetable oils,0
2017-07-01,Prince Edward Island,Animal or vegetable oils,0
2017-08-01,Prince Edward Island,Animal or vegetable oils,0
2017-09-01,Prince Edward Island,Animal or vegetable oils,0
2017-10-01,Prince Edward Island,Animal or vegetable oils,0
2017-11-01,Prince Edward Island,Animal or vegetable oils,0
2017-12-01,Prince Edward Island,Animal or vegetable oils,0
2018-01-01,Prince Edward Island,Animal or vegetable oils,0
2018-02-01,Prince Edward Island,Animal or vegetable oils,0
2018-03-01,Prince Edward Island,Animal or vegetable oils,0
2018-04-01,Prince Edward Island,Animal or vegetable oils,0
2018-05-01,Prince Edward Island,Animal or vegetable oils,0
2018-06-01,Prince Edward Island,Animal or vegetable oils,0
2018-07-01,Prince Edward Island,Animal or vegetable oils,0
2018-08-01,Prince Edward Island,Animal or vegetable oils,0
2018-09-01,Prince Edward Island,Animal or vegetable oils,0
2018-10-01,Prince Edward Island,Animal or vegetable oils,0
2018-11-01,Prince Edward Island,Animal or vegetable oils,0
2018-12-01,Prince Edward Island,Animal or vegetable oils,0
2019-01-01,Prince Edward Island,Animal or vegetable oils,0
2019-02-01,Prince Edward Island,Animal or vegetable oils,0
2019-03-01,Prince Edward Island,Animal or vegetable oils,0
2019-04-01,Prince Edward Island,Animal or vegetable oils,0
2019-05-01,Prince Edward Island,Animal or vegetable oils,0
2019-06-01,Prince Edward Island,Animal or vegetable oils,0
2019-07-01,Prince Edward Island,Animal or vegetable oils,0
2019-08-01,Prince Edward Island,Animal or vegetable oils,0
2019-09-01,Prince Edward Island,Animal or vegetable oils,0
2019-10-01,Prince Edward Island,Animal or vegetable oils,0
2019-11-01,Prince Edward Island,Animal or vegetable oils,0
2019-12-01,Prince Edward Island,Animal or vegetable oils,0
2020-01-01,Prince Edward Island,Animal or vegetable oils,0
2020-02-01,Prince Edward Island,Animal or vegetable oils,0
2020-03-01,Prince Edward Island,Animal or vegetable oils,0
2020-04-01,Prince Edward Island,Animal or vegetable oils,0
2020-05-01,Prince Edward Island,Animal or vegetable oils,0
2020-06-01,Prince Edward Island,Animal or vegetable oils,0
2020-07-01,Prince Edward Island,Animal or vegetable oils,0
2020-08-01,Prince Edward Island,Animal or vegetable oils,0
2020-09-01,Prince Edward Island,Animal or vegetable oils,0
2020-10-01,Prince Edward Island,Animal or vegetable oils,0
2020-11-01,Prince Edward Island,Animal or vegetable oils,0
2020-12-01,Prince Edward Island,Animal or vegetable oils,0
2021-01-01,Prince Edward Island,Animal or vegetable oils,0
2021-02-01,Prince Edward Island,Animal or vegetable oils,0
2021-03-01,Prince Edward Island,Animal or vegetable oils,0
2021-04-01,Prince Edward Island,Animal or vegetable oils,0
2021-05-01,Prince Edward Island,Animal or vegetable oils,0
2021-06-01,Prince Edward Island,Animal or vegetable oils,0
2021-07-01,Prince Edward Island,Animal or vegetable oils,0
2021-08-01,Prince Edward Island,Animal or vegetable oils,0
2021-09-01,Prince Edward Island,Animal or vegetable oils,0
2021-10-01,Prince Edward Island,Animal or vegetable oils,0
2021-11-01,Prince Edward Island,Animal or vegetable oils,0
2021-12-01,Prince Edward Island,Animal or vegetable oils,0
2022-01-01,Prince Edward Island,Animal or vegetable oils,0
2022-02-01,Prince Edward Island,Animal or vegetable oils,0
2022-03-01,Prince Edward Island,Animal or vegetable oils,0
2022-04-01,Prince Edward Island,Animal or vegetable oils,0
2022-05-01,Prince Edward Island,Animal or vegetable oils,0
2022-06-01,Prince Edward Island,Animal or vegetable oils,0
2022-07-01,Prince Edward Island,Animal or vegetable oils,0
2022-08-01,Prince Edward Island,Animal or vegetable oils,0
2022-09-01,Prince Edward Island,Animal or vegetable oils,0
2022-10-01,Prince Edward Island,Animal or vegetable oils,0
2022-11-01,Prince Edward Island,Animal or vegetable oils,0
2022-12-01,Prince Edward Island,Animal or vegetable oils,0
2023-01-01,Prince Edward Island,Animal or vegetable oils,0
2023-02-01,Prince Edward Island,Animal or vegetable oils,0
2023-03-01,Prince Edward Island,Animal or vegetable oils,0
2023-04-01,Prince Edward Island,Animal or vegetable oils,0
2023-05-01,Prince Edward Island,Animal or vegetable oils,0
2023-06-01,Prince Edward Island,Animal or vegetable oils,0
2023-07-01,Prince Edward Island,Animal or vegetable oils,0
2023-08-01,Prince Edward Island,Animal or vegetable oils,0
2023-09-01,Prince Edward Island,Animal or vegetable oils,0
2023-10-01,Prince Edward Island,Animal or vegetable oils,0
2023-11-01,Prince Edward Island,Animal or vegetable oils,0
2023-12-01,Prince Edward Island,Animal or vegetable oils,0
2024-01-01,Prince Edward Island,Animal or vegetable oils,0
2024-02-01,Prince Edward Island,Animal or vegetable oils,0
2024-03-01,Prince Edward Island,Animal or vegetable oils,0
2017-01-01,Prince Edward Island,Processed food and beverages,15
2017-02-01,Prince Edward Island,Processed food and beverages,14
2017-03-01,Prince Edward Island,Processed food and beverages,44
2017-04-01,Prince Edward Island,Processed food and beverages,276
2017-05-01,Prince Edward Island,Processed food and beverages,168
2017-06-01,Prince Edward Island,Processed food and beverages,64
2017-07-01,Prince Edward Island,Processed food and beverages,45
2017-08-01,Prince Edward Island,Processed food and beverages,206
2017-09-01,Prince Edward Island,Processed food and beverages,120
2017-10-01,Prince Edward Island,Processed food and beverages,199
2017-11-01,Prince Edward Island,Processed food and beverages,57
2017-12-01,Prince Edward Island,Processed food and beverages,77
2018-01-01,Prince Edward Island,Processed food and beverages,40
2018-02-01,Prince Edward Island,Processed food and beverages,0
2018-03-01,Prince Edward Island,Processed food and beverages,40
2018-04-01,Prince Edward Island,Processed food and beverages,238
2018-05-01,Prince Edward Island,Processed food and beverages,111
2018-06-01,Prince Edward Island,Processed food and beverages,87
2018-07-01,Prince Edward Island,Processed food and beverages,106
2018-08-01,Prince Edward Island,Processed food and beverages,14
2018-09-01,Prince Edward Island,Processed food and beverages,182
2018-10-01,Prince Edward Island,Processed food and beverages,192
2018-11-01,Prince Edward Island,Processed food and beverages,5
2018-12-01,Prince Edward Island,Processed food and beverages,13
2019-01-01,Prince Edward Island,Processed food and beverages,0
2019-02-01,Prince Edward Island,Processed food and beverages,23
2019-03-01,Prince Edward Island,Processed food and beverages,83
2019-04-01,Prince Edward Island,Processed food and beverages,148
2019-05-01,Prince Edward Island,Processed food and beverages,93
2019-06-01,Prince Edward Island,Processed food and beverages,141
2019-07-01,Prince Edward Island,Processed food and beverages,1
2019-08-01,Prince Edward Island,Processed food and beverages,206
2019-09-01,Prince Edward Island,Processed food and beverages,147
2019-10-01,Prince Edward Island,Processed food and beverages,278
2019-11-01,Prince Edward Island,Processed food and beverages,1
2019-12-01,Prince Edward Island,Processed food and beverages,0
2020-01-01,Prince Edward Island,Processed food and beverages,10
2020-02-01,Prince Edward Island,Processed food and beverages,2
2020-03-01,Prince Edward Island,Processed food and beverages,0
2020-04-01,Prince Edward Island,Processed food and beverages,124
2020-05-01,Prince Edward Island,Processed food and beverages,174
2020-06-01,Prince Edward Island,Processed food and beverages,100
2020-07-01,Prince Edward Island,Processed food and beverages,39
2020-08-01,Prince Edward Island,Processed food and beverages,0
2020-09-01,Prince Edward Island,Processed food and beverages,102
2020-10-01,Prince Edward Island,Processed food and beverages,169
2020-11-01,Prince Edward Island,Processed food and beverages,117
2020-12-01,Prince Edward Island,Processed food and beverages,5
2021-01-01,Prince Edward Island,Processed food and beverages,0
2021-02-01,Prince Edward Island,Processed food and beverages,14
2021-03-01,Prince Edward Island,Processed food and beverages,115
2021-04-01,Prince Edward Island,Processed food and beverages,113
2021-05-01,Prince Edward Island,Processed food and beverages,252
2021-06-01,Prince Edward Island,Processed food and beverages,0
2021-07-01,Prince Edward Island,Processed food and beverages,0
2021-08-01,Prince Edward Island,Processed food and beverages,73
2021-09-01,Prince Edward Island,Processed food and beverages,0
2021-10-01,Prince Edward Island,Processed food and beverages,61
2021-11-01,Prince Edward Island,Processed food and beverages,184
2021-12-01,Prince Edward Island,Processed food and beverages,99
2022-01-01,Prince Edward Island,Processed food and beverages,0
2022-02-01,Prince Edward Island,Processed food and beverages,2
2022-03-01,Prince Edward Island,Processed food and beverages,37
2022-04-01,Prince Edward Island,Processed food and beverages,1
2022-05-01,Prince Edward Island,Processed food and beverages,223
2022-06-01,Prince Edward Island,Processed food and beverages,14
2022-07-01,Prince Edward Island,Processed food and beverages,1
2022-08-01,Prince Edward Island,Processed food and beverages,43
2022-09-01,Prince Edward Island,Processed food and beverages,201
2022-10-01,Prince Edward Island,Processed food and beverages,74
2022-11-01,Prince Edward Island,Processed food and beverages,0
2022-12-01,Prince Edward Island,Processed food and beverages,0
2023-01-01,Prince Edward Island,Processed food and beverages,113
2023-02-01,Prince Edward Island,Processed food and beverages,250
2023-03-01,Prince Edward Island,Processed food and beverages,3
2023-04-01,Prince Edward Island,Processed food and beverages,0
2023-05-01,Prince Edward Island,Processed food and beverages,0
2023-06-01,Prince Edward Island,Processed food and beverages,0
2023-07-01,Prince Edward Island,Processed food and beverages,0
2023-08-01,Prince Edward Island,Processed food and beverages,1
2023-09-01,Prince Edward Island,Processed food and beverages,0
2023-10-01,Prince Edward Island,Processed food and beverages,0
2023-11-01,Prince Edward Island,Processed food and beverages,0
2023-12-01,Prince Edward Island,Processed food and beverages,12
2024-01-01,Prince Edward Island,Processed food and beverages,25
2024-02-01,Prince Edward Island,Processed food and beverages,0
2024-03-01,Prince Edward Island,Processed food and beverages,0
2017-01-01,Nova Scotia,Live animals or animal products,251
2017-02-01,Nova Scotia,Live animals or animal products,19
2017-03-01,Nova Scotia,Live animals or animal products,47
2017-04-01,Nova Scotia,Live animals or animal products,37
2017-05-01,Nova Scotia,Live animals or animal products,108
2017-06-01,Nova Scotia,Live animals or animal products,16
2017-07-01,Nova Scotia,Live animals or animal products,10
2017-08-01,Nova Scotia,Live animals or animal products,18
2017-09-01,Nova Scotia,Live animals or animal products,18
2017-10-01,Nova Scotia,Live animals or animal products,23
2017-11-01,Nova Scotia,Live animals or animal products,22
2017-12-01,Nova Scotia,Live animals or animal products,20
2018-01-01,Nova Scotia,Live animals or animal products,17
2018-02-01,Nova Scotia,Live animals or animal products,91
2018-03-01,Nova Scotia,Live animals or animal products,85
2018-04-01,Nova Scotia,Live animals or animal products,10
2018-05-01,Nova Scotia,Live animals or animal products,10
2018-06-01,Nova Scotia,Live animals or animal products,11
2018-07-01,Nova Scotia,Live animals or animal products,236
2018-08-01,Nova Scotia,Live animals or animal products,20
2018-09-01,Nova Scotia,Live animals or animal products,6
2018-10-01,Nova Scotia,Live animals or animal products,270
2018-11-01,Nova Scotia,Live animals or animal products,43
2018-12-01,Nova Scotia,Live animals or animal products,13
2019-01-01,Nova Scotia,Live animals or animal products,17
2019-02-01,Nova Scotia,Live animals or animal products,21
2019-03-01,Nova Scotia,Live animals or animal products,37
2019-04-01,Nova Scotia,Live animals or animal products,11
2019-05-01,Nova Scotia,Live animals or animal products,88
2019-06-01,Nova Scotia,Live animals or animal products,15
2019-07-01,Nova Scotia,Live animals or animal products,102
2019-08-01,Nova Scotia,Live animals or animal products,12
2019-09-01,Nova Scotia,Live animals or animal products,24
2019-10-01,Nova Scotia,Live animals or animal products,51
2019-11-01,Nova Scotia,Live animals or animal products,49
2019-12-01,Nova Scotia,Live animals or animal products,18
2020-01-01,Nova Scotia,Live animals or animal products,16
2020-02-01,Nova Scotia,Live animals or animal products,14
2020-03-01,Nova Scotia,Live animals or animal products,42
2020-04-01,Nova Scotia,Live animals or animal products,27
2020-05-01,Nova Scotia,Live animals or animal products,5
2020-06-01,Nova Scotia,Live animals or animal products,9
2020-07-01,Nova Scotia,Live animals or animal products,9
2020-08-01,Nova Scotia,Live animals or animal products,14
2020-09-01,Nova Scotia,Live animals or animal products,5
2020-10-01,Nova Scotia,Live animals or animal products,3
2020-11-01,Nova Scotia,Live animals or animal products,9
2020-12-01,Nova Scotia,Live animals or animal products,23
2021-01-01,Nova Scotia,Live animals or animal products,12
2021-02-01,Nova Scotia,Live animals or animal products,7
2021-03-01,Nova Scotia,Live animals or animal products,6
2021-04-01,Nova Scotia,Live animals or animal products,85
2021-05-01,Nova Scotia,Live animals or animal products,19
2021-06-01,Nova Scotia,Live animals or animal products,6
2021-07-01,Nova Scotia,Live animals or animal products,6
2021-08-01,Nova Scotia,Live animals or animal products,3
2021-09-01,Nova Scotia,Live animals or animal products,2
2021-10-01,Nova Scotia,Live animals or animal products,8
2021-11-01,Nova Scotia,Live animals or animal products,22
2021-12-01,Nova Scotia,Live animals or animal products,28
2022-01-01,Nova Scotia,Live animals or animal products,23
2022-02-01,Nova Scotia,Live animals or animal products,25
2022-03-01,Nova Scotia,Live animals or animal products,97
2022-04-01,Nova Scotia,Live animals or animal products,25
2022-05-01,Nova Scotia,Live animals or animal products,8
2022-06-01,Nova Scotia,Live animals or animal products,127
2022-07-01,Nova Scotia,Live animals or animal products,2
2022-08-01,Nova Scotia,Live animals or animal products,76
2022-09-01,Nova Scotia,Live animals or animal products,4
2022-10-01,Nova Scotia,Live animals or animal products,9
2022-11-01,Nova Scotia,Live animals or animal products,4
2022-12-01,Nova Scotia,Live animals or animal products,10
2023-01-01,Nova Scotia,Live animals or animal products,58
2023-02-01,Nova Scotia,Live animals or animal products,52
2023-03-01,Nova Scotia,Live animals or animal products,81
2023-04-01,Nova Scotia,Live animals or animal products,30
2023-05-01,Nova Scotia,Live animals or animal products,37
2023-06-01,Nova Scotia,Live animals or animal products,61
2023-07-01,Nova Scotia,Live animals or animal products,3
2023-08-01,Nova Scotia,Live animals or animal products,2
2023-09-01,Nova Scotia,Live animals or animal products,56
2023-10-01,Nova Scotia,Live animals or animal products,6
2023-11-01,Nova Scotia,Live animals or animal products,543
2023-12-01,Nova Scotia,Live animals or animal products,3
2024-01-01,Nova Scotia,Live animals or animal products,157
2024-02-01,Nova Scotia,Live animals or animal products,36
2024-03-01,Nova Scotia,Live animals or animal products,389
2017-01-01,Nova Scotia,Vegetable products,0
2017-02-01,Nova Scotia,Vegetable products,312
2017-03-01,Nova Scotia,Vegetable products,89
2017-04-01,Nova Scotia,Vegetable products,130
2017-05-01,Nova Scotia,Vegetable products,1313
2017-06-01,Nova Scotia,Vegetable products,1130
2017-07-01,Nova Scotia,Vegetable products,0
2017-08-01,Nova Scotia,Vegetable products,40
2017-09-01,Nova Scotia,Vegetable products,306
2017-10-01,Nova Scotia,Vegetable products,193
2017-11-01,Nova Scotia,Vegetable products,64
2017-12-01,Nova Scotia,Vegetable products,2
2018-01-01,Nova Scotia,Vegetable products,176
2018-02-01,Nova Scotia,Vegetable products,116
2018-03-01,Nova Scotia,Vegetable products,136
2018-04-01,Nova Scotia,Vegetable products,455
2018-05-01,Nova Scotia,Vegetable products,5223
2018-06-01,Nova Scotia,Vegetable products,2144
2018-07-01,Nova Scotia,Vegetable products,129
2018-08-01,Nova Scotia,Vegetable products,15
2018-09-01,Nova Scotia,Vegetable products,5
2018-10-01,Nova Scotia,Vegetable products,15
2018-11-01,Nova Scotia,Vegetable products,128
2018-12-01,Nova Scotia,Vegetable products,144
2019-01-01,Nova Scotia,Vegetable products,323
2019-02-01,Nova Scotia,Vegetable products,189
2019-03-01,Nova Scotia,Vegetable products,201
2019-04-01,Nova Scotia,Vegetable products,252
2019-05-01,Nova Scotia,Vegetable products,2766
2019-06-01,Nova Scotia,Vegetable products,5780
2019-07-01,Nova Scotia,Vegetable products,123
2019-08-01,Nova Scotia,Vegetable products,167
2019-09-01,Nova Scotia,Vegetable products,155
2019-10-01,Nova Scotia,Vegetable products,188
2019-11-01,Nova Scotia,Vegetable products,135
2019-12-01,Nova Scotia,Vegetable products,201
2020-01-01,Nova Scotia,Vegetable products,287
2020-02-01,Nova Scotia,Vegetable products,0
2020-03-01,Nova Scotia,Vegetable products,300
2020-04-01,Nova Scotia,Vegetable products,214
2020-05-01,Nova Scotia,Vegetable products,284
2020-06-01,Nova Scotia,Vegetable products,74
2020-07-01,Nova Scotia,Vegetable products,343
2020-08-01,Nova Scotia,Vegetable products,341
2020-09-01,Nova Scotia,Vegetable products,266
2020-10-01,Nova Scotia,Vegetable products,140
2020-11-01,Nova Scotia,Vegetable products,210
2020-12-01,Nova Scotia,Vegetable products,241
2021-01-01,Nova Scotia,Vegetable products,316
2021-02-01,Nova Scotia,Vegetable products,139
2021-03-01,Nova Scotia,Vegetable products,142
2021-04-01,Nova Scotia,Vegetable products,213
2021-05-01,Nova Scotia,Vegetable products,266
2021-06-01,Nova Scotia,Vegetable products,196
2021-07-01,Nova Scotia,Vegetable products,283
2021-08-01,Nova Scotia,Vegetable products,136
2021-09-01,Nova Scotia,Vegetable products,413
2021-10-01,Nova Scotia,Vegetable products,274
2021-11-01,Nova Scotia,Vegetable products,67
2021-12-01,Nova Scotia,Vegetable products,0
2022-01-01,Nova Scotia,Vegetable products,216
2022-02-01,Nova Scotia,Vegetable products,72
2022-03-01,Nova Scotia,Vegetable products,101
2022-04-01,Nova Scotia,Vegetable products,550
2022-05-01,Nova Scotia,Vegetable products,285
2022-06-01,Nova Scotia,Vegetable products,1
2022-07-01,Nova Scotia,Vegetable products,436
2022-08-01,Nova Scotia,Vegetable products,218
2022-09-01,Nova Scotia,Vegetable products,221
2022-10-01,Nova Scotia,Vegetable products,226
2022-11-01,Nova Scotia,Vegetable products,278
2022-12-01,Nova Scotia,Vegetable products,189
2023-01-01,Nova Scotia,Vegetable products,187
2023-02-01,Nova Scotia,Vegetable products,185
2023-03-01,Nova Scotia,Vegetable products,298
2023-04-01,Nova Scotia,Vegetable products,470
2023-05-01,Nova Scotia,Vegetable products,95
2023-06-01,Nova Scotia,Vegetable products,256
2023-07-01,Nova Scotia,Vegetable products,184
2023-08-01,Nova Scotia,Vegetable products,278
2023-09-01,Nova Scotia,Vegetable products,376
2023-10-01,Nova Scotia,Vegetable products,94
2023-11-01,Nova Scotia,Vegetable products,97
2023-12-01,Nova Scotia,Vegetable products,190
2024-01-01,Nova Scotia,Vegetable products,184
2024-02-01,Nova Scotia,Vegetable products,270
2024-03-01,Nova Scotia,Vegetable products,187
2017-01-01,Nova Scotia,Animal or vegetable oils,0
2017-02-01,Nova Scotia,Animal or vegetable oils,0
2017-03-01,Nova Scotia,Animal or vegetable oils,0
2017-04-01,Nova Scotia,Animal or vegetable oils,0
2017-05-01,Nova Scotia,Animal or vegetable oils,0
2017-06-01,Nova Scotia,Animal or vegetable oils,0
2017-07-01,Nova Scotia,Animal or vegetable oils,0
2017-08-01,Nova Scotia,Animal or vegetable oils,0
2017-09-01,Nova Scotia,Animal or vegetable oils,0
2017-10-01,Nova Scotia,Animal or vegetable oils,2
2017-11-01,Nova Scotia,Animal or vegetable oils,3
2017-12-01,Nova Scotia,Animal or vegetable oils,0
2018-01-01,Nova Scotia,Animal or vegetable oils,0
2018-02-01,Nova Scotia,Animal or vegetable oils,0
2018-03-01,Nova Scotia,Animal or vegetable oils,0
2018-04-01,Nova Scotia,Animal or vegetable oils,0
2018-05-01,Nova Scotia,Animal or vegetable oils,0
2018-06-01,Nova Scotia,Animal or vegetable oils,0
2018-07-01,Nova Scotia,Animal or vegetable oils,0
2018-08-01,Nova Scotia,Animal or vegetable oils,0
2018-09-01,Nova Scotia,Animal or vegetable oils,0
2018-10-01,Nova Scotia,Animal or vegetable oils,0
2018-11-01,Nova Scotia,Animal or vegetable oils,0
2018-12-01,Nova Scotia,Animal or vegetable oils,0
2019-01-01,Nova Scotia,Animal or vegetable oils,0
2019-02-01,Nova Scotia,Animal or vegetable oils,0
2019-03-01,Nova Scotia,Animal or vegetable oils,0
2019-04-01,Nova Scotia,Animal or vegetable oils,0
2019-05-01,Nova Scotia,Animal or vegetable oils,0
2019-06-01,Nova Scotia,Animal or vegetable oils,0
2019-07-01,Nova Scotia,Animal or vegetable oils,0
2019-08-01,Nova Scotia,Animal or vegetable oils,0
2019-09-01,Nova Scotia,Animal or vegetable oils,0
2019-10-01,Nova Scotia,Animal or vegetable oils,0
2019-11-01,Nova Scotia,Animal or vegetable oils,0
2019-12-01,Nova Scotia,Animal or vegetable oils,0
2020-01-01,Nova Scotia,Animal or vegetable oils,0
2020-02-01,Nova Scotia,Animal or vegetable oils,0
2020-03-01,Nova Scotia,Animal or vegetable oils,0
2020-04-01,Nova Scotia,Animal or vegetable oils,0
2020-05-01,Nova Scotia,Animal or vegetable oils,0
2020-06-01,Nova Scotia,Animal or vegetable oils,0
2020-07-01,Nova Scotia,Animal or vegetable oils,0
2020-08-01,Nova Scotia,Animal or vegetable oils,0
2020-09-01,Nova Scotia,Animal or vegetable oils,0
2020-10-01,Nova Scotia,Animal or vegetable oils,0
2020-11-01,Nova Scotia,Animal or vegetable oils,0
2020-12-01,Nova Scotia,Animal or vegetable oils,0
2021-01-01,Nova Scotia,Animal or vegetable oils,0
2021-02-01,Nova Scotia,Animal or vegetable oils,0
2021-03-01,Nova Scotia,Animal or vegetable oils,0
2021-04-01,Nova Scotia,Animal or vegetable oils,0
2021-05-01,Nova Scotia,Animal or vegetable oils,0
2021-06-01,Nova Scotia,Animal or vegetable oils,0
2021-07-01,Nova Scotia,Animal or vegetable oils,0
2021-08-01,Nova Scotia,Animal or vegetable oils,0
2021-09-01,Nova Scotia,Animal or vegetable oils,0
2021-10-01,Nova Scotia,Animal or vegetable oils,0
2021-11-01,Nova Scotia,Animal or vegetable oils,0
2021-12-01,Nova Scotia,Animal or vegetable oils,0
2022-01-01,Nova Scotia,Animal or vegetable oils,0
2022-02-01,Nova Scotia,Animal or vegetable oils,0
2022-03-01,Nova Scotia,Animal or vegetable oils,0
2022-04-01,Nova Scotia,Animal or vegetable oils,0
2022-05-01,Nova Scotia,Animal or vegetable oils,0
2022-06-01,Nova Scotia,Animal or vegetable oils,0
2022-07-01,Nova Scotia,Animal or vegetable oils,0
2022-08-01,Nova Scotia,Animal or vegetable oils,0
2022-09-01,Nova Scotia,Animal or vegetable oils,0
2022-10-01,Nova Scotia,Animal or vegetable oils,0
2022-11-01,Nova Scotia,Animal or vegetable oils,0
2022-12-01,Nova Scotia,Animal or vegetable oils,0
2023-01-01,Nova Scotia,Animal or vegetable oils,0
2023-02-01,Nova Scotia,Animal or vegetable oils,0
2023-03-01,Nova Scotia,Animal or vegetable oils,0
2023-04-01,Nova Scotia,Animal or vegetable oils,0
2023-05-01,Nova Scotia,Animal or vegetable oils,0
2023-06-01,Nova Scotia,Animal or vegetable oils,0
2023-07-01,Nova Scotia,Animal or vegetable oils,0
2023-08-01,Nova Scotia,Animal or vegetable oils,0
2023-09-01,Nova Scotia,Animal or vegetable oils,0
2023-10-01,Nova Scotia,Animal or vegetable oils,0
2023-11-01,Nova Scotia,Animal or vegetable oils,0
2023-12-01,Nova Scotia,Animal or vegetable oils,0
2024-01-01,Nova Scotia,Animal or vegetable oils,0
2024-02-01,Nova Scotia,Animal or vegetable oils,0
2024-03-01,Nova Scotia,Animal or vegetable oils,0
